iter	Accuracy	MultiClass
353	0353	0.7473397285	0.730167354	0354	0.7477066625	0.729636355	0355	0.7478639199	0.729103356	0356	0.7478639199	0.72861035357	0.7478115008	0.72809884435358	0.7483356922	0.7272122359	359	0.7487026262	0.7261616360	360	0.7489647219	0.7256280361	361	0.7490171411	0.7251772362	362	0.7492792368	0.7246621363	363	0.7489647219	0.7241624364	364	0.7496985899	0.723295365	0365	0.7495937516	0.7227575193
366	0.7494889134	0.72236367	0367	0.7492792368	0.721832368	0368	0.7492792368	0.7210690117
369	0.7493840751	0.7204120442
370	0.7500655239	0.7198945746
371	0.7498034282	0.7192475249
372	0.7500131048	0.7187891818
373	0.7498558474	0.7179482496
374	0.7500655239	0.71744375	0.375	0.7497510091	0.71667376	0.376	0.7500131048	0.71592377	0.377	0.7503276196	0.71501378	0.378	0.7504324579	0.71429379	0.7515332599	0.7081710959
380	0.7514808408	0.7078082165
381	0.381	0.7505897154	0.71280382	0.382	0.7499082665	0.7122383	0.7383	0.7502752005	0.7118384	0.7384	0.7502227814	0.711385	0.75385	0.7502227814	0.711386	0.75386	0.7505372962	0.71387	0.752387	0.7506945537	0.7100492712
388	0.7509042302	0.70389	0.752389	0.7511663259	0.7390	0.7525390	0.7511139068	0.391	0.7524391	0.7511663259	0.7073772033
392	0.7511663259	0393	0.752843393	0.7513235834	0394	0.753000394	0.7514284217	0.7055400324
395	0.7515332599	0.7049687174
396	0.7516380982	0.7044014083
397	0.7517429365	0.7040194675
398	0.7517953557	0.7035414399
399	0.7514808408	0.7027385107
400	0.7514284217	0.7022867548
401	0.7514808408	0.7018409594
402	0.7514808408	0.7014071026
403	0.7518477748	0.7011351687
404	0.7510405	0.7551501808	0.6405	0.7522406	0.7551501808	0.6406	0.7521407	0.7554122766	0.6407	0.7520408	0.7554646957	0.6408	0.7519409	0.755569534	0.6409	0.7521410	0.7546259894	0.6916158816
411	0.7552550191	0.691179077
412	0.7550453426	0.6905748813
413	0.7556219531	0.6896944171
414	0.7553598574	0.6891858705
415	0.755569534	0.6415	0.7530416	0.7558840489	0.6883366841
417	0.756303402	0.6876797873
418	0.7562509829	0.6871598544
419	0.7565130786	0.6865667266
420	0.7579283955	0.6860190368
421	0.757771138	0.6855093054
422	0.7570896892	0.6850294941
423	0.7589767783	0.6844987704
424	0.7588195209	0.6838874973
425	0.7593961315	0.6834848507
426	0.7609162866	0.6827842195
427	0.7607066101	0.6824757237
428	0.7611783823	0.68428	0.756429	0.7612308015	0.6816966752
430	0.7613880589	0.6813465287
431	0.7614928972	0.6809472211
432	0.7614928972	0.680417677
433	0.7617025738	0.679433	0.75434	0.7621743461	0.679434	0.75435	0.7621219269	0.67435	0.756436	0.7617549929	0.67436	0.756437	0.7627509566	0.6782031625
438	0.7629082141	0.6777899558
439	0.7626985375	0.439	0.75714440	0.7628033758	0.440	0.7572469466	0.6834924965
441	0.75703442	0.7636420821	442	0.7572993443	0.7638517587	443	0.7572993444	0.7638517587	444	0.7575614445	0.7642186927	445	0.757771138	0.6807915696
446	0.75777113447	0.764585626447	0.7578759763	0.6800221952
448	0.758033233449	0.764900141449	0.7570896892	0.678711356
450	0.7572469466451	0.76490014451	0.7572993657452	0.76495256452	0.7574566232	0.6773645876
453	0.7575090423	0.6770314412
454	0.757299365455	0.765843686455	0.757404204	0.6760996466
456	0.7575090423457	0.7672065457	0.7579808146458	0.76757351458	0.758138072	459	0.7669969459	0.758138072	0460	0.766996460	0.758505006	0.461	0.76715461	0.7586098443	0462	0.766996462	0.7586098443	0463	0.766839463	0.7585574252	0464	0.767101464	0.7577187189	0465	0.766682465	0.7579808146	0466	0.766734466	0.7578235572	0467	0.7668396498	0.6640475113
468	0.766892069	0.6636759095
469	0.7666823924	0.6632335738
470	0.7671017456	0.6629331956
471	0.7675210987	0.6625934058
472	0.7678356136	0.6620653882
